id,created_at,customer_id,product,category,priority,status,description,resolution,resolved_at
1,2026-01-01T02:18:28,CUST-13992,WEB_PORTAL,AUTHENTICATION,MEDIUM,RESOLVED,Password reset succeeds but login returns HTTP 401,Cleared cached session metadata and requested reauthentication.,2026-01-02T19:18:28
2,2026-01-01T08:04:16,CUST-10551,MOBILE_APP,PROFILE,MEDIUM,CLOSED,Profile picture upload fails intermittently,Asked user to retry with supported image format.,2026-01-02T19:04:16
3,2026-01-01T09:21:50,CUST-12718,MOBILE_APP,UI,LOW,RESOLVED,Settings button is difficult to find,Provided navigation steps and logged UX feedback.,2026-01-01T10:21:50
4,2026-01-01T09:49:39,CUST-19017,WEB_PORTAL,NOTIFICATIONS,CRITICAL,RESOLVED,Confirmation email arrived later than expected,Checked notification queue and resent email.,2026-01-01T15:49:39
5,2026-01-01T10:26:57,CUST-12085,MOBILE_APP,NOTIFICATIONS,MEDIUM,RESOLVED,Push notification was not received,Verified notification preferences.,2026-01-04T21:26:57
6,2026-01-01T10:43:16,CUST-13083,CHECKOUT,PAYMENT,MEDIUM,RESOLVED,Customer receives gateway timeout during checkout,Escalated recurring checkout timeout pattern to payments team.,2026-01-04T14:43:16
7,2026-01-01T10:45:57,CUST-14955,ACCOUNT_SERVICE,PERFORMANCE,MEDIUM,IN_PROGRESS,Report export takes longer than expected,,
8,2026-01-01T10:46:27,CUST-15555,MOBILE_APP,NOTIFICATIONS,MEDIUM,RESOLVED,Push notification was not received,Verified notification preferences.,2026-01-02T19:46:27
9,2026-01-01T12:29:15,CUST-15446,CHECKOUT,DELIVERY,LOW,IN_PROGRESS,Order confirmation page shows delayed delivery estimate,,
10,2026-01-01T12:33:09,CUST-10662,MOBILE_APP,PROFILE,MEDIUM,CLOSED,Profile picture upload fails intermittently,Asked user to retry with supported image format.,2026-01-02T15:33:09
11,2026-01-01T12:37:15,CUST-12909,WEB_PORTAL,SEARCH,LOW,RESOLVED,Search results do not match expected order,Explained current sorting behavior.,2026-01-05T10:37:15
12,2026-01-01T12:58:53,CUST-18999,ACCOUNT_SERVICE,ACCOUNT,HIGH,RESOLVED,User cannot update profile information,Provided profile update instructions.,2026-01-02T04:58:53
13,2026-01-01T13:20:45,CUST-16273,WEB_PORTAL,ACCOUNT,LOW,CLOSED,Customer wants to change contact email,Provided account update instructions.,2026-01-03T18:20:45
14,2026-01-01T14:00:14,CUST-11183,ACCOUNT_SERVICE,ACCOUNT,MEDIUM,CLOSED,User cannot update profile information,Provided profile update instructions.,2026-01-04T12:00:14
15,2026-01-01T14:10:30,CUST-18548,WEB_PORTAL,ACCOUNT,MEDIUM,RESOLVED,Customer wants to change contact email,Provided account update instructions.,2026-01-02T01:10:30
16,2026-01-01T14:22:01,CUST-16969,MOBILE_APP,PROFILE,MEDIUM,IN_PROGRESS,Profile picture upload fails intermittently,,
17,2026-01-01T14:37:59,CUST-17761,WEB_PORTAL,UI,MEDIUM,RESOLVED,Form validation message is unclear,Explained validation requirement and logged UX feedback.,2026-01-05T05:37:59
18,2026-01-01T15:00:49,CUST-15262,WEB_PORTAL,UI,LOW,CLOSED,Form validation message is unclear,Explained validation requirement and logged UX feedback.,2026-01-03T14:00:49
19,2026-01-01T16:10:28,CUST-18006,ACCOUNT_SERVICE,PERFORMANCE,CRITICAL,CLOSED,Report export takes longer than expected,Suggested smaller date range while investigated.,2026-01-03T07:10:28
20,2026-01-01T18:04:27,CUST-12478,WEB_PORTAL,SUBSCRIPTION,MEDIUM,RESOLVED,Customer asks how to change subscription plan,Provided subscription management instructions.,2026-01-02T08:04:27
21,2026-01-01T19:39:58,CUST-14169,WEB_PORTAL,ACCOUNT,LOW,RESOLVED,Customer wants to change contact email,Provided account update instructions.,2026-01-01T23:39:58
22,2026-01-01T19:57:03,CUST-16002,MOBILE_APP,UI,MEDIUM,RESOLVED,Settings button is difficult to find,Provided navigation steps and logged UX feedback.,2026-01-02T21:57:03
23,2026-01-01T20:59:55,CUST-17801,MOBILE_APP,UI,HIGH,RESOLVED,Settings button is difficult to find,Provided navigation steps and logged UX feedback.,2026-01-05T17:59:55
24,2026-01-01T21:11:56,CUST-19935,WEB_PORTAL,UI,HIGH,RESOLVED,Form validation message is unclear,Explained validation requirement and logged UX feedback.,2026-01-03T06:11:56
25,2026-01-01T22:27:25,CUST-18111,WEB_PORTAL,PERFORMANCE,LOW,CLOSED,Dashboard loads slowly during peak hours,Logged performance issue and suggested retry.,2026-01-04T11:27:25
26,2026-01-01T22:42:12,CUST-11709,WEB_PORTAL,UI,HIGH,CLOSED,Form validation message is unclear,Explained validation requirement and logged UX feedback.,2026-01-02T07:42:12
27,2026-01-01T22:50:37,CUST-19480,ACCOUNT_SERVICE,ACCOUNT,MEDIUM,RESOLVED,User cannot update profile information,Provided profile update instructions.,2026-01-05T09:50:37
28,2026-01-01T23:01:40,CUST-10528,MOBILE_APP,NOTIFICATIONS,MEDIUM,IN_PROGRESS,Push notification was not received,,
29,2026-01-01T23:05:07,CUST-19785,MOBILE_APP,PROFILE,MEDIUM,OPEN,Profile picture upload fails intermittently,,
30,2026-01-01T23:23:41,CUST-14193,WEB_PORTAL,SUBSCRIPTION,MEDIUM,RESOLVED,Customer asks how to change subscription plan,Provided subscription management instructions.,2026-01-02T17:23:41
31,2026-01-01T23:29:05,CUST-15747,WEB_PORTAL,PERFORMANCE,LOW,CLOSED,Dashboard loads slowly during peak hours,Logged performance issue and suggested retry.,2026-01-02T22:29:05
32,2026-01-01T23:39:25,CUST-17009,MOBILE_APP,NOTIFICATIONS,HIGH,RESOLVED,Push notification was not received,Verified notification preferences.,2026-01-05T02:39:25
33,2026-01-02T01:50:18,CUST-14592,WEB_PORTAL,NOTIFICATIONS,MEDIUM,RESOLVED,Confirmation email arrived later than expected,Checked notification queue and resent email.,2026-01-05T22:50:18
34,2026-01-02T02:38:20,CUST-19377,CHECKOUT,DELIVERY,HIGH,CLOSED,Order confirmation page shows delayed delivery estimate,Explained delivery estimate calculation.,2026-01-05T15:38:20
35,2026-01-02T02:49:34,CUST-19270,ACCOUNT_SERVICE,PERFORMANCE,HIGH,RESOLVED,Report export takes longer than expected,Suggested smaller date range while investigated.,2026-01-04T09:49:34
36,2026-01-02T03:21:43,CUST-10503,MOBILE_APP,PROFILE,HIGH,IN_PROGRESS,Profile picture upload fails intermittently,,
37,2026-01-02T03:48:39,CUST-15967,WEB_PORTAL,PERFORMANCE,HIGH,CLOSED,Dashboard loads slowly during peak hours,Logged performance issue and suggested retry.,2026-01-05T10:48:39
38,2026-01-02T03:55:49,CUST-10522,WEB_PORTAL,PERFORMANCE,LOW,CLOSED,Dashboard loads slowly during peak hours,Logged performance issue and suggested retry.,2026-01-04T11:55:49
39,2026-01-02T04:19:12,CUST-12852,WEB_PORTAL,SEARCH,LOW,CLOSED,Search results do not match expected order,Explained current sorting behavior.,2026-01-05T23:19:12
40,2026-01-02T04:32:30,CUST-11922,WEB_PORTAL,SUBSCRIPTION,LOW,OPEN,Customer asks how to change subscription plan,,
41,2026-01-02T04:32:42,CUST-10304,WEB_PORTAL,PERFORMANCE,MEDIUM,RESOLVED,Dashboard loads slowly during peak hours,Logged performance issue and suggested retry.,2026-01-05T22:32:42
42,2026-01-02T04:57:31,CUST-19588,WEB_PORTAL,NOTIFICATIONS,MEDIUM,IN_PROGRESS,Confirmation email arrived later than expected,,
43,2026-01-02T05:11:30,CUST-18569,ACCOUNT_SERVICE,PERFORMANCE,MEDIUM,RESOLVED,Report export takes longer than expected,Suggested smaller date range while investigated.,2026-01-05T18:11:30
44,2026-01-02T05:18:29,CUST-19882,WEB_PORTAL,ACCOUNT,MEDIUM,CLOSED,Customer wants to change contact email,Provided account update instructions.,2026-01-02T10:18:29
